iter	RMSE
0	10.68216227
1	9.929566538
2	9.308179715
3	8.610304358
4	8.06904783
5	7.5214206
6	7.020874196
7	6.597164178
8	6.237293435
9	5.835631488
10	5.457670065
11	5.110182273
12	4.846257154
13	4.549869335
14	4.271410579
15	4.007713892
16	3.787137726
17	3.581844398
18	3.374715903
19	3.201841276
20	3.037220356
21	2.874877623
22	2.730053467
23	2.596691866
24	2.478335849
25	2.364181202
26	2.269028705
27	2.163573705
28	2.069377665
29	1.979685788
30	1.904311754
31	1.8297705
32	1.766232715
33	1.707837333
34	1.65389648
35	1.598405503
36	1.544730939
37	1.495212347
38	1.44662205
39	1.404667909
40	1.36429404
41	1.333377477
42	1.298488534
43	1.264074415
44	1.232471167
45	1.205793696
46	1.183387344
47	1.156854588
48	1.13410455
49	1.115354611
50	1.091769838
51	1.072782354
52	1.057064172
53	1.035781314
54	1.020840973
55	1.007858053
56	0.9921075562
57	0.9704403316
58	0.9574284017
59	0.9464372774
60	0.9294700167
61	0.9167540599
62	0.9056018171
63	0.8943654017
64	0.8824285238
65	0.8719411695
66	0.8608395751
67	0.856253373
68	0.8447765395
69	0.8352371765
70	0.8298132447
71	0.8204650476
