iter	Passed	Remaining
0	59	488974
1	61	250011
2	62	170391
3	63	130392
4	65	106531
5	66	90784
6	67	79295
7	69	70709
8	70	63998
9	71	58687
10	73	54389
11	74	50747
12	76	48017
13	77	45343
14	79	43270
15	80	41196
16	82	39884
17	84	38273
18	85	36839
19	86	35511
20	88	34315
21	89	33225
22	90	32272
23	92	31374
24	93	30517
25	94	29748
26	96	29055
27	97	28395
28	98	27823
29	100	27235
30	101	26687
31	102	26160
32	103	25666
33	105	25196
34	106	24803
35	107	24420
36	109	24044
37	110	23675
38	111	23320
39	112	22973
40	113	22661
41	115	22372
42	116	22110
43	117	21847
44	119	21574
45	120	21324
46	121	21093
47	123	20872
48	124	20655
49	125	20441
50	126	20230
51	127	20029
52	129	19829
53	130	19666
54	131	19486
55	132	19318
56	134	19152
57	135	19004
58	136	18853
59	138	18715
60	139	18594
61	140	18440
62	141	18312
63	143	18215
64	145	18135
65	146	18047
66	148	18019
67	150	17937
68	151	17831
69	152	17737
70	154	17664
71	155	17590
