iter	RMSE
0	11.52451317
1	11.5197136
2	11.51549656
3	11.51089905
4	11.50178958
5	11.49617695
6	11.49145928
7	11.48691393
8	11.48331321
9	11.47881167
10	11.47413968
11	11.46927836
12	11.46536359
13	11.46083738
14	11.45645417
15	11.45176408
16	11.44657171
17	11.44227987
18	11.43879639
19	11.43386533
20	11.42841673
21	11.42332392
22	11.41770965
23	11.41269709
24	11.4072447
25	11.40339033
26	11.40037122
27	11.39796006
28	11.39297471
29	11.38820199
30	11.38444947
31	11.37937803
32	11.37382188
33	11.37165714
34	11.36640717
35	11.36031478
36	11.35634385
37	11.35047678
38	11.34846775
39	11.34349247
40	11.33990938
41	11.33661157
42	11.33243774
43	11.3264912
44	11.32175121
45	11.31763813
46	11.31255462
47	11.30604707
48	11.30095089
49	11.29846407
50	11.29380065
51	11.29091307
52	11.28904408
53	11.28722205
54	11.28120723
55	11.27638319
56	11.26999852
57	11.26526601
58	11.2621118
59	11.25699871
60	11.25216274
61	11.24686464
62	11.24099398
63	11.23416715
64	11.22931639
65	11.22347486
66	11.2216836
67	11.2192718
68	11.21491131
69	11.20964083
70	11.2051232
71	11.20340918
72	11.20090604
73	11.1970741
74	11.19044306
75	11.18344137
76	11.17680396
77	11.17088954
78	11.16628949
79	11.16109203
80	11.15591729
81	11.15184078
82	11.14919397
83	11.14467915
84	11.13776727
85	11.13378312
86	11.12825525
87	11.12657899
88	11.12399952
89	11.12098511
90	11.11855413
91	11.11572526
92	11.11092484
93	11.10928964
94	11.10415437
95	11.09984803
96	11.09829277
97	11.09425449
98	11.08923504
99	11.08479452
