iter	Passed	Remaining
0	136	13530
1	190	9323
2	240	7784
3	289	6956
4	364	6922
5	418	6560
6	476	6330
7	530	6105
8	584	5905
9	646	5817
10	712	5760
11	775	5688
12	834	5583
13	899	5522
14	968	5485
15	1042	5474
16	1110	5422
17	1186	5403
18	1298	5536
19	1373	5493
20	1436	5403
21	1515	5373
22	1592	5331
23	1662	5263
24	1730	5192
25	1796	5112
26	1860	5029
27	1920	4939
28	1990	4874
29	2063	4813
30	2129	4740
31	2205	4685
32	2293	4656
33	2354	4570
34	2422	4499
35	2502	4449
36	2588	4406
37	2666	4349
38	2729	4269
39	2812	4218
40	2889	4158
41	2959	4087
42	3032	4019
43	3126	3979
44	3206	3918
45	3289	3861
46	3368	3798
47	3461	3750
48	3544	3689
49	3613	3613
50	3693	3548
51	3759	3470
52	3818	3386
53	3872	3298
54	3960	3240
55	4047	3179
56	4130	3115
57	4205	3045
58	4276	2971
59	4351	2901
60	4424	2828
61	4512	2765
62	4600	2701
63	4687	2636
64	4764	2565
65	4840	2493
66	4897	2412
67	4959	2334
68	5037	2263
69	5118	2193
70	5189	2119
71	5253	2042
72	5327	1970
73	5400	1897
74	5482	1827
75	5566	1757
76	5665	1692
77	5744	1620
78	5817	1546
79	5893	1473
80	5971	1400
81	6048	1327
82	6118	1253
83	6192	1179
84	6273	1107
85	6350	1033
86	6453	964
87	6523	889
88	6589	814
89	6656	739
90	6721	664
91	6797	591
92	6873	517
93	6936	442
94	7021	369
95	7106	296
96	7165	221
97	7250	147
98	7332	74
99	7410	0
